Custome Id,Sale Date,Sale Amount
1,23/10/2019,144.26
2,07/05/2019,920.88
3,10/05/2019,150.48
4,07/02/2019,411.09
5,25/12/2018,403.45
6,01/10/2019,142.97
7,03/04/2019,706.93
8,01/06/2019,516.87
9,04/12/2019,70.37
10,25/04/2019,718.75
11,29/06/2019,216.61
12,10/12/2019,570.18
13,17/11/2019,862.56
14,27/03/2019,395.82
15,28/01/2019,308.79
16,14/06/2019,428.36
17,15/06/2019,168.98
18,04/07/2019,91.34
19,21/02/2019,89.93
20,10/03/2019,340.22
21,16/11/2019,724.23
22,03/02/2019,56.93
23,11/02/2019,27.19
24,01/04/2019,511.89
25,20/01/2019,797.17
26,05/05/2019,127.16
27,24/08/2019,925.65
28,31/01/2019,659.84
29,14/11/2019,77.91
30,13/01/2019,128.59
31,09/07/2019,111.80
32,22/10/2019,73.81
33,23/05/2019,61.98
34,28/09/2019,19.64
35,06/11/2019,214.53
36,25/05/2019,887.78
37,02/09/2019,291.98
38,14/02/2019,210.41
39,07/10/2019,520.61
40,12/10/2019,484.74
41,23/03/2019,950.23
42,26/08/2019,2.31
43,25/01/2019,741.69
44,10/02/2019,661.99
45,21/01/2019,210.03
46,18/10/2019,455.15
47,03/12/2019,338.00
48,05/08/2019,179.39
49,24/04/2019,458.42
50,11/12/2019,220.05
51,14/04/2019,765.37
52,07/10/2019,675.75
53,06/12/2019,805.11
54,27/07/2019,204.88
55,23/04/2019,779.82
56,27/06/2019,445.32
57,20/01/2019,120.39
58,06/11/2019,934.79
59,13/02/2019,678.50
60,27/09/2019,110.52
61,15/07/2019,663.22
62,24/12/2018,981.63
63,20/06/2019,0.81
64,19/12/2018,612.66
65,07/05/2019,567.68
66,26/07/2019,560.72
67,06/02/2019,743.97
68,23/05/2019,523.90
69,29/12/2018,766.64
70,31/01/2019,474.15
71,06/08/2019,956.48
72,27/01/2019,713.36
73,27/01/2019,129.41
74,06/04/2019,908.72
75,14/10/2019,878.03
76,18/08/2019,298.73
77,02/07/2019,720.50
78,12/03/2019,62.65
79,01/03/2019,907.90
80,28/08/2019,988.57
81,28/09/2019,130.36
82,12/05/2019,595.72
83,23/10/2019,907.58
84,24/11/2019,709.63
85,13/08/2019,949.83
86,06/09/2019,663.34
87,10/11/2019,307.65
88,05/08/2019,308.08
89,05/01/2019,128.30
90,19/01/2019,395.27
91,28/03/2019,956.21
92,07/04/2019,269.86
93,14/11/2019,85.28
94,18/05/2019,548.49
95,07/02/2019,152.09
96,30/07/2019,908.72
97,18/05/2019,353.22
98,16/03/2019,809.70
99,02/09/2019,753.80
100,05/01/2019,179.84
101,11/02/2019,583.25
102,16/05/2019,377.27
103,23/01/2019,951.85
104,29/12/2018,949.29
105,29/12/2018,924.05
106,27/04/2019,399.95
107,05/05/2019,257.83
108,02/06/2019,356.31
109,28/12/2018,50.09
110,12/01/2019,556.83
111,21/11/2019,503.70
112,19/03/2019,849.37
113,27/06/2019,836.80
114,19/09/2019,325.85
115,16/05/2019,131.65
116,13/06/2019,562.57
117,16/07/2019,246.81
118,12/08/2019,388.27
119,13/12/2019,215.29
120,05/03/2019,178.07
121,27/08/2019,114.20
122,24/11/2019,239.54
123,12/01/2019,6.94
124,30/11/2019,418.45
125,08/10/2019,944.86
126,07/05/2019,630.67
127,15/01/2019,568.73
128,03/09/2019,692.53
129,16/09/2019,380.41
130,02/02/2019,644.05
131,02/12/2019,602.95
132,15/12/2019,809.87
133,24/07/2019,800.22
134,30/01/2019,33.00
135,30/10/2019,951.09
136,10/03/2019,30.34
137,02/12/2019,361.07
138,23/06/2019,832.27
139,04/09/2019,697.92
140,03/07/2019,470.03
141,28/08/2019,503.93
142,31/07/2019,895.69
143,16/11/2019,32.28
144,11/12/2019,269.12
145,15/03/2019,573.35
146,02/04/2019,79.19
147,19/06/2019,234.10
148,21/08/2019,456.79
149,08/02/2019,37.95
150,25/03/2019,171.94
151,17/12/2019,519.51
152,02/09/2019,839.69
153,03/03/2019,932.46
154,01/01/2019,442.04
155,15/01/2019,421.89
156,02/01/2019,48.40
157,04/11/2019,669.66
158,17/02/2019,964.76
159,03/08/2019,80.74
160,20/09/2019,588.08
161,03/07/2019,614.46
162,05/06/2019,17.27
163,18/01/2019,911.67
164,29/12/2018,855.47
165,22/08/2019,883.94
166,20/06/2019,837.45
167,12/08/2019,635.39
168,28/01/2019,391.19
169,16/04/2019,191.97
170,07/11/2019,720.12
171,24/04/2019,567.55
172,30/10/2019,669.83
173,30/11/2019,610.54
174,01/03/2019,196.38
175,29/04/2019,627.64
176,05/09/2019,883.23
177,16/10/2019,558.75
178,23/05/2019,276.03
179,15/03/2019,749.22
180,30/12/2018,751.99
181,27/03/2019,992.27
182,05/08/2019,831.11
183,29/10/2019,311.61
184,04/11/2019,851.56
185,20/04/2019,713.70
186,23/02/2019,859.92
187,16/05/2019,767.21
188,23/09/2019,982.91
189,24/05/2019,732.19
190,16/11/2019,208.85
191,24/03/2019,419.81
192,10/11/2019,660.67
193,15/07/2019,349.14
194,19/05/2019,559.28
195,07/03/2019,527.38
196,12/06/2019,196.01
197,18/09/2019,365.94
198,20/03/2019,427.31
199,02/03/2019,513.78
200,17/04/2019,814.01
201,09/01/2019,422.78
202,13/02/2019,152.29
203,25/11/2019,131.95
204,11/04/2019,507.99
205,05/04/2019,81.42
206,05/08/2019,411.88
207,16/01/2019,413.64
208,09/07/2019,995.05
209,12/09/2019,988.48
210,10/05/2019,967.73
211,18/05/2019,712.16
212,10/03/2019,897.10
213,28/05/2019,143.71
214,07/07/2019,469.76
215,15/07/2019,374.91
216,03/09/2019,288.29
217,13/05/2019,651.28
218,10/12/2019,33.83
219,20/01/2019,213.51
220,03/04/2019,591.07
221,29/06/2019,25.65
222,30/12/2018,498.50
223,12/02/2019,693.08
224,08/06/2019,932.39
225,27/11/2019,373.52
226,14/09/2019,480.73
227,17/02/2019,88.30
228,20/12/2018,363.13
229,16/11/2019,542.33
230,10/12/2019,236.14
231,13/03/2019,507.07
232,05/06/2019,87.77
233,12/03/2019,726.60
234,12/03/2019,313.94
235,28/05/2019,410.73
236,31/05/2019,402.55
237,07/06/2019,896.43
238,08/08/2019,575.42
239,16/12/2019,877.00
240,14/02/2019,681.26
241,01/10/2019,169.22
242,19/06/2019,732.36
243,19/09/2019,233.22
244,06/07/2019,356.63
245,08/02/2019,998.79
246,09/12/2019,602.42
247,27/11/2019,708.71
248,01/09/2019,890.74
249,09/05/2019,506.29
250,10/06/2019,713.87
251,11/03/2019,354.12
252,19/09/2019,180.84
253,17/01/2019,821.18
254,12/08/2019,147.26
255,26/03/2019,90.87
256,26/01/2019,942.10
257,02/03/2019,363.95
258,16/09/2019,859.59
259,07/06/2019,181.77
260,30/10/2019,29.88
261,27/04/2019,788.03
262,17/03/2019,916.08
263,19/11/2019,186.86
264,10/02/2019,844.53
265,28/05/2019,471.29
266,21/09/2019,668.46
267,02/12/2019,953.59
268,06/04/2019,80.98
269,22/08/2019,296.65
270,14/12/2019,700.05
271,02/02/2019,628.85
272,31/07/2019,971.91
273,07/07/2019,375.18
274,11/11/2019,772.62
275,30/06/2019,878.35
276,10/09/2019,957.78
277,27/01/2019,118.40
278,21/11/2019,680.78
279,13/05/2019,449.66
280,16/03/2019,459.75
281,18/11/2019,635.03
282,11/03/2019,221.71
283,17/05/2019,825.98
284,12/03/2019,222.03
285,03/05/2019,733.65
286,27/09/2019,665.18
287,29/04/2019,248.75
288,14/09/2019,475.82
289,26/02/2019,751.96
290,11/11/2019,306.49
291,25/03/2019,139.78
292,12/03/2019,904.94
